Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-01T00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2021-01-01T00:30,0.716,1.520,3.468,4.060,-99.9,-99.9
2021-01-01T01:00,0.680,1.290,3.398,4.475,95.43,29.250
2021-01-01T01:30,0.646,1.150,3.424,4.584,90.43,29.250
2021-01-01T02:00,0.615,1.140,3.328,4.509,87.43,29.150
2021-01-01T02:30,0.696,1.430,3.267,3.762,98.43,29.100
2021-01-01T03:00,0.755,1.410,3.246,4.047,88.43,29.000
2021-01-01T03:30,0.676,1.070,3.310,4.320,91.43,29.000
2021-01-01T04:00,0.675,1.090,3.302,4.455,92.43,29.050
2021-01-01T04:30,0.669,1.300,3.313,4.303,101.43,29.050
2021-01-01T05:00,0.754,1.270,3.410,4.842,92.43,29.100
2021-01-01T05:30,0.690,1.230,3.330,4.586,94.43,29.200
2021-01-01T06:00,0.694,1.070,3.489,4.504,104.43,29.200
2021-01-01T06:30,0.668,1.190,3.450,4.190,99.43,29.050
2021-01-01T07:00,0.590,0.990,3.280,3.725,98.43,28.950
2021-01-01T07:30,0.515,0.930,3.253,3.537,73.43,28.700
2021-01-01T08:00,0.481,0.870,3.243,3.740,63.43,28.750
2021-01-01T08:30,0.490,0.880,3.080,3.676,61.43,28.850
2021-01-01T09:00,0.474,0.880,2.981,3.538,61.43,28.950
2021-01-01T09:30,0.472,0.780,2.921,2.464,73.43,28.900
2021-01-01T10:00,0.499,0.840,2.890,3.045,132.43,29.000
2021-01-01T10:30,0.530,1.070,2.958,3.262,87.43,29.100
2021-01-01T11:00,0.533,1.150,3.093,3.099,123.43,29.150
2021-01-01T11:30,0.487,0.780,2.996,3.003,133.43,29.150
2021-01-01T12:00,0.503,0.960,2.974,3.658,127.43,29.150
2021-01-01T12:30,0.514,1.000,3.025,3.476,127.43,29.200
2021-01-01T13:00,0.469,0.940,2.942,3.355,104.43,29.200
2021-01-01T13:30,0.438,0.800,3.002,3.369,104.43,29.200
2021-01-01T14:00,0.418,0.700,3.061,3.356,109.43,29.200
2021-01-01T14:30,0.399,0.680,2.947,3.149,95.43,29.250
2021-01-01T15:00,0.380,0.660,2.969,3.101,101.43,29.250
2021-01-01T15:30,0.351,0.630,2.965,3.349,88.43,29.250
2021-01-01T16:00,0.385,0.810,2.915,2.956,87.43,29.300
2021-01-01T16:30,0.372,0.620,2.950,2.646,78.43,29.250
2021-01-01T17:00,0.365,0.690,3.094,5.071,90.43,29.250
2021-01-01T17:30,0.340,0.510,2.982,2.999,63.43,29.250
2021-01-01T18:00,0.332,0.630,3.006,4.941,84.43,29.250
2021-01-01T18:30,0.305,0.530,3.075,5.516,90.43,29.250
2021-01-01T19:00,0.302,0.550,3.092,4.312,59.43,29.300
2021-01-01T19:30,0.329,0.530,3.155,4.734,77.43,29.300
2021-01-01T20:00,0.330,0.650,3.076,4.506,81.43,29.300
2021-01-01T20:30,0.334,0.540,3.137,4.223,77.43,29.250
2021-01-01T21:00,0.312,0.570,3.070,4.299,71.43,29.250
2021-01-01T21:30,0.346,0.740,3.098,3.006,60.43,29.300
2021-01-01T22:00,0.345,0.550,2.997,3.662,77.43,29.250
2021-01-01T22:30,0.349,0.640,2.989,3.595,92.43,29.250
2021-01-01T23:00,0.344,0.590,3.056,3.418,85.43,29.250
2021-01-01T23:30,0.332,0.520,3.100,3.542,90.43,29.250
2021-01-02T00:00,0.319,0.560,3.059,3.148,84.43,29.300
2021-01-02T00:30,0.293,0.510,3.028,4.705,84.43,29.300
2021-01-02T01:00,0.278,0.560,2.824,2.686,87.43,29.300
2021-01-02T01:30,0.263,0.460,2.832,2.959,84.43,29.300
2021-01-02T02:00,0.254,0.480,2.763,2.425,104.43,29.300
2021-01-02T02:30,0.315,0.670,2.462,2.614,116.43,29.300
2021-01-02T03:00,0.346,0.610,2.608,2.546,125.43,29.300
2021-01-02T03:30,0.370,0.620,2.723,2.858,137.43,29.250
2021-01-02T04:00,0.343,0.670,2.785,3.001,120.43,29.250
2021-01-02T04:30,0.354,0.610,2.689,2.478,112.43,29.150
2021-01-02T05:00,0.357,0.650,2.718,2.906,144.43,29.100
2021-01-02T05:30,0.336,0.610,2.744,2.754,309.43,29.100
2021-01-02T06:00,0.317,0.630,3.047,4.026,317.43,28.700
2021-01-02T06:30,0.317,0.590,3.230,4.320,327.43,28.650
2021-01-02T07:00,0.254,0.550,3.135,3.977,329.43,28.500
2021-01-02T07:30,0.243,0.460,3.101,4.294,327.43,28.500
2021-01-02T08:00,0.293,0.540,2.451,2.213,331.43,28.850
2021-01-02T08:30,0.357,0.670,2.483,2.374,154.43,28.600
2021-01-02T09:00,0.397,0.710,2.552,2.671,156.43,28.500
2021-01-02T09:30,0.438,0.970,2.689,2.876,165.43,28.700
2021-01-02T10:00,0.445,0.740,2.718,3.064,161.43,28.500
2021-01-02T10:30,0.393,0.680,2.702,3.057,157.43,28.450
2021-01-02T11:00,0.378,0.590,2.742,2.981,156.43,28.500
2021-01-02T11:30,0.379,0.660,2.730,2.863,146.43,28.500
2021-01-02T12:00,0.358,0.760,2.812,3.100,142.43,28.500
